Unit,Value
Freq,Hz
Vmod,V
IHr1,"A (I_peak, rotated)"
IHi1,"A (I_peak, rotated)"
VHr1,"V (V_peak, rotated)"
VHi1,"V (V_peak, rotated)"
IHr2,"A (I_peak, rotated)"
IHi2,"A (I_peak, rotated)"
VHr2,"V (V_peak, rotated)"
VHi2,"V (V_peak, rotated)"
IHr3,"A (I_peak, rotated)"
IHi3,"A (I_peak, rotated)"
VHr3,"V (V_peak, rotated)"
VHi3,"V (V_peak, rotated)"
IHr4,"A (I_peak, rotated)"
IHi4,"A (I_peak, rotated)"
VHr4,"V (V_peak, rotated)"
VHi4,"V (V_peak, rotated)"
IHr5,"A (I_peak, rotated)"
IHi5,"A (I_peak, rotated)"
VHr5,"V (V_peak, rotated)"
VHi5,"V (V_peak, rotated)"
IHr6,"A (I_peak, rotated)"
IHi6,"A (I_peak, rotated)"
VHr6,"V (V_peak, rotated)"
VHi6,"V (V_peak, rotated)"
IHr7,"A (I_peak, rotated)"
IHi7,"A (I_peak, rotated)"
VHr7,"V (V_peak, rotated)"
VHi7,"V (V_peak, rotated)"
IHr8,"A (I_peak, rotated)"
IHi8,"A (I_peak, rotated)"
VHr8,"V (V_peak, rotated)"
VHi8,"V (V_peak, rotated)"
IHr9,"A (I_peak, rotated)"
IHi9,"A (I_peak, rotated)"
VHr9,"V (V_peak, rotated)"
VHi9,"V (V_peak, rotated)"
IHr10,"A (I_peak, rotated)"
IHi10,"A (I_peak, rotated)"
VHr10,"V (V_peak, rotated)"
VHi10,"V (V_peak, rotated)"
Modulation (RMS),V_RMS Label
File Number,None
Rank,None
theta,Radians
Re{I1} Rot,"A (I_peak, rotated)"
Im{I1} Rot,"A (I_peak, rotated)"
Re{I2} Rot,"A (I_peak, rotated)"
Im{I2} Rot,"A (I_peak, rotated)"
Re{A1} Rot,"ohm^-1 (A_1, rotated)"
Im{A1} Rot,"ohm^-1 (A_1, rotated)"
Re{A2} Rot,"A/V^2 (A_2, rotated)"
Im{A2} Rot,"A/V^2 (A_2, rotated)"
