Unit,Value
Freq,Hz
Vmod,V
IHr1,A (I_peak)
IHi1,A (I_peak)
VHr1,V (V_peak)
VHi1,V (V_peak)
IHr2,A (I_peak)
IHi2,A (I_peak)
VHr2,V (V_peak)
VHi2,V (V_peak)
IHr3,A (I_peak)
IHi3,A (I_peak)
VHr3,V (V_peak)
VHi3,V (V_peak)
IHr4,A (I_peak)
IHi4,A (I_peak)
VHr4,V (V_peak)
VHi4,V (V_peak)
IHr5,A (I_peak)
IHi5,A (I_peak)
VHr5,V (V_peak)
VHi5,V (V_peak)
IHr6,A (I_peak)
IHi6,A (I_peak)
VHr6,V (V_peak)
VHi6,V (V_peak)
IHr7,A (I_peak)
IHi7,A (I_peak)
VHr7,V (V_peak)
VHi7,V (V_peak)
IHr8,A (I_peak)
IHi8,A (I_peak)
VHr8,V (V_peak)
VHi8,V (V_peak)
IHr9,A (I_peak)
IHi9,A (I_peak)
VHr9,V (V_peak)
VHi9,V (V_peak)
IHr10,A (I_peak)
IHi10,A (I_peak)
VHr10,V (V_peak)
VHi10,V (V_peak)
Modulation (RMS),V_RMS Label
File Number,None
Rank,None
