Freq,Vmod,IHr1,IHi1,VHr1,VHi1,IHr2,IHi2,VHr2,VHi2,IHr3,IHi3,VHr3,VHi3,IHr4,IHi4,VHr4,VHi4,IHr5,IHi5,VHr5,VHi5,IHr6,IHi6,VHr6,VHi6,IHr7,IHi7,VHr7,VHi7,IHr8,IHi8,VHr8,VHi8,IHr9,IHi9,VHr9,VHi9,IHr10,IHi10,VHr10,VHi10,Modulation,File Number,Rank,theta,Re{I1} Rot,Im{I1} Rot,Re{I2} Rot,Im{I2} Rot,Re{A1} Rot,Im{A1} Rot,Re{A2} Rot,Im{A2} Rot,Re{A1} Processed,Im{A1} Processed,Re{A2} Processed,Im{A2} Processed,I1 Mag (A * 10^6),I2 Mag (A * 10^6),I3 Mag (A * 10^6),I1_mag_div_g1,I2_mag_div_g2,h1_2nd,h1_4th,h1_6th,h2_2nd,h2_4th,h2_6th,"Re{A1}, 2nd order","Im{A1}, 2nd order","Re{A2}, 2nd order","Im{A2}, 2nd order","Re{A1}, 4th order","Im{A1}, 4th order","Re{A2}, 4th order","Im{A2}, 4th order","Re{A1}, 6th order","Im{A1}, 6th order","Re{A2}, 6th order","Im{A2}, 6th order"
0.0946587,0.0009973,3.591198543619494e-07,3.523980503317371e-07,0.0009972563022264246,-2.202285662861181e-20,8.663634740413137e-11,-8.126278519168665e-10,4.232797508794842e-07,-3.294867799433418e-08,7.626109840727359e-10,2.0175232850498906e-10,2.3469965571939651e-07,5.762949614709436e-08,-2.3737073029262535e-10,2.8216890886676124e-10,-1.052655645515279e-08,-1.4470663680153023e-07,-6.530927329777545e-10,-3.320308116845926e-10,-3.3413076415988563e-07,2.5472154574790696e-08,2.6562014858937533e-11,-4.0888131369900517e-10,-1.537203576042668e-07,8.695272311791246e-08,4.4482133353791233e-10,1.1323352447820233e-10,1.858028258178613e-07,-1.0374708048647506e-07,2.8533103441670376e-11,3.0173052022655034e-10,1.7675308290017442e-07,1.2374980416175077e-07,-3.8982259034698817e-10,-3.0831329900583366e-10,-3.3970659855170184e-07,-4.568547450231201e-08,2.7401087417400427e-11,-1.0877010279355073e-10,5.2130993432702744e-08,-1.5810595559395324e-08,1mV,1,1,1.5773473513003504,3.591198543619494e-07,3.45234304567168e-07,8.663634740413137e-11,-8.126278519168665e-10,0.0003601078815548183,0.00034618412919167833,8.711371905677604e-05,-0.0008171054818294604,0.0003601078815548183,0.00035336758418572117,8.711371905677604e-05,-0.0008171054818294604,0.5031415861112628,0.0008172330649224553,0.0007888469528910989,0.016752764963468083,3.952607432172155e-06,1,0.9999057327950529,0.9999057446434608,1,0.9995600863769133,0.999560255216726,0.0003601078815548183,0.00035336758418572117,8.711371905677604e-05,-0.0008171054818294604,0.0003601418311186224,0.00035340089830062976,8.715205843456145e-05,-0.0008174650958615278,0.0003601418268511129,0.0003534008941129971,8.715204371335066e-05,-0.0008174649577801535
0.1193355,0.001,4.0352928173363964e-07,3.9718867961366113e-07,0.0009999611454640346,-2.0328790734103208e-20,-9.339796557768604e-11,-6.487906936639629e-10,4.785572892412167e-07,2.114959784321399e-07,4.4679746126759624e-10,2.26456437050136e-10,3.137436356009219e-07,4.377545659174085e-08,-1.865086906223507e-10,1.4215332941705195e-10,-1.6666480298934257e-07,2.6637178566050568e-08,-5.465651710773534e-10,-3.2721273973880253e-10,-4.611297215771985e-07,-3.6206695502389925e-08,-1.1186918443183522e-11,-2.2380978758904246e-10,-5.510872722447064e-08,-1.0383340082836888e-08,2.7917105634840627e-10,2.3114886304527247e-10,2.3297119732296294e-07,1.051521113693957e-07,7.558032561095914e-11,2.107923141910271e-10,4.213944461946698e-08,-1.1774040840298555e-08,-2.730900712792572e-10,-2.0241921169248813e-10,-1.532516063735918e-07,-5.505050653508355e-08,9.66067898627105e-11,-1.1941972380538832e-10,1.4036867677806445e-07,-2.4285625609397427e-08,1mV,1,2,1.5813615511010863,4.0352928173363964e-07,3.8813290464809733e-07,-9.339796557768604e-11,-6.487906936639629e-10,0.0004035449612858515,0.00038814798595797757,-9.34052238699349e-05,-0.0006488411135251863,0.0004035449612858515,0.0003972041127951473,-9.34052238699349e-05,-0.0006488411135251863,0.5662108515647777,0.0006554788662947241,0.0005009096617920356,0.01679074278594806,2.8235266191414925e-06,1,0.9999052207425388,0.9999052327200157,1,0.9995576967985146,0.9995578674775598,0.0004035449612858515,0.0003972041127951473,-9.34052238699349e-05,-0.0006488411135251863,0.00040358321260306585,0.0003972417630744841,-9.3446555580636e-05,-0.000649128225017286,0.00040358320776869906,0.00039724175831607904,-9.344653962421227e-05,-0.0006491281141756936
0.1502404,0.0009999,4.52369996326096e-07,4.4608600415480115e-07,0.0009999286433800196,9.486769009248164e-20,-1.935060807895994e-10,-3.516725776983893e-10,2.7338931624222103e-07,4.4091878134021414e-08,5.004613317084192e-10,4.6265485393248027e-10,4.484381814061804e-07,-7.147300105785731e-08,-8.007073492949528e-11,8.420214234068097e-11,9.36511295654447e-08,-1.8395363734853922e-08,-5.409836881851484e-10,-3.9383625358134464e-10,-3.4159500535806563e-07,5.135947473984735e-08,-7.067951052204142e-11,-1.9688119330883373e-10,3.564943707555107e-08,-1.4170292799288411e-07,2.9969626964539076e-10,3.998319424563448e-11,9.160415333118233e-08,-1.1482916053451048e-07,4.849020036900523e-11,2.3107083726220764e-10,4.221247684422712e-09,1.9033463316938647e-08,-2.188515079079904e-10,-1.4877584605981412e-10,-1.1897140345795213e-07,1.105994703915759e-08,-5.979939662036729e-11,3.879897486485799e-11,-2.5007490184496228e-08,1.4233637941399139e-07,1mV,1,3,1.589897363395274,4.52369996326096e-07,4.3468538128124767e-07,-1.935060807895994e-10,-3.516725776983893e-10,0.0004524022782235415,0.00043471640117428545,-0.00019353369962548612,-0.0003517227714037738,0.0004524022782235415,0.0004461178376158063,-0.00019353369962548612,-0.0003517227714037738,0.6353198695766326,0.0004013953228521486,0.000681550481184372,0.01679096364688799,1.5409798617803283e-06,1,0.9999052269037249,0.9999052388796446,1,0.9995577255507161,0.9995578962075718,0.0004524022782235415,0.0004461178376158063,-0.00019353369962548612,-0.0003517227714037738,0.00045244515785204583,0.00044616012159196406,-0.00019361933250914228,-0.0003518783982285652,0.00045244515243308546,0.00044616011624827996,-0.00019361929945206115,-0.00035187833815154395
0.1890121,0.001,5.059514000766881e-07,5.007543324823062e-07,0.0009999540908999128,-2.0328790734103208e-20,6.220624223306876e-11,-5.464255823573793e-10,2.752424071476991e-07,-1.9086485182029847e-07,5.522690967442263e-10,3.5740264418836146e-10,4.747942157726877e-07,3.431015654795725e-07,-3.802952390819795e-10,-3.6503560205924814e-11,-2.3333048899198944e-07,3.051191533110145e-08,-5.2489778100077e-10,-3.8858139065388085e-10,-2.7067853478530395e-07,-8.015904896777203e-08,5.1264795259293225e-11,-1.6146255559511609e-10,-2.7305295171627497e-08,-7.748512883454205e-08,2.7678692271110365e-10,2.9594059548263825e-10,9.182973247176792e-08,1.126101059116545e-07,1.057278568408767e-10,2.0105122478683573e-10,9.683833024257074e-08,-3.2343056869088314e-08,-2.536576473651024e-10,-3.125619301530173e-10,-1.943091468273444e-07,-5.522583481145432e-08,8.328653598353494e-11,-1.1077848706144007e-10,-6.161892913164864e-08,-4.134967425738607e-08,1mV,1,4,1.601048822384004,5.059514000766881e-07,4.86411249594587e-07,6.220624223306876e-11,-5.464255823573793e-10,0.0005059746289165686,0.00048643358132255773,6.221195429162043e-05,-0.0005464757576261064,0.0005059746289165686,0.0005007773227185363,6.221195429162043e-05,-0.0005464757576261064,0.7118579357844942,0.0005499550287317686,0.0006578280970675515,0.01677355341921847,1.8823500721106082e-06,1,0.9999052220798388,0.9999052340569776,1,0.9995577030392476,0.9995578737134765,0.0005059746289165686,0.0005007773227185363,6.221195429162043e-05,-0.0005464757576261064,0.0005060225886850788,0.0005008247898504836,6.223948262562456e-05,-0.0005467175691453293,0.0005060225826238017,0.000500824783851467,6.223947199825022e-05,-0.0005467174757934566
0.238186,0.0010009,5.671598691094983e-07,5.633204186708861e-07,0.0010008600000516402,-6.776263578034403e-20,8.054224092055015e-11,-3.527037041637652e-10,4.929766784315614e-07,4.2242120296848103e-08,5.100490247497605e-10,2.622420641768166e-10,3.8300764973078115e-07,1.6585352292740053e-07,-4.290258523733611e-10,-2.3920346148798954e-11,-2.0235757616706027e-07,-2.439398629164963e-08,-7.498274020331796e-10,-5.066907185498535e-10,-3.159136194869371e-07,-4.2972557959546496e-08,-2.3564549945448247e-10,-1.6111886768025153e-10,-2.334415895592804e-07,2.499534816828313e-07,2.905576699611028e-10,1.1471717720691124e-10,1.4681952886965542e-07,-5.970986690158622e-08,8.559981570317582e-11,1.0093450165344713e-10,1.3401142763573543e-07,5.0872210145675434e-08,-2.678416870127718e-10,-4.3159324871950265e-10,-1.9231844384462373e-07,-9.345353120442006e-08,2.0219090511995546e-10,-1.494850299528293e-10,8.742409224877013e-08,-5.4699198807476385e-08,1mV,1,5,1.6152784952461963,5.671598691094983e-07,5.452294257676128e-07,8.054224092055015e-11,-3.527037041637652e-10,0.0005666725307038299,0.0005447609313385301,8.040388676029656e-05,-0.00035209783543885525,0.0005666725307038299,0.0005628363793555753,8.040388676029656e-05,-0.00035209783543885525,0.7993748877841019,0.00036178302268534483,0.0005735162664405426,0.016779110502000438,1.1030827382221153e-06,1,0.9999050502737957,0.9999050622943964,1,0.9995569012777133,0.999557072571273,0.0005666725307038299,0.0005628363793555753,8.040388676029656e-05,-0.00035209783543885525,0.000566726341214761,0.0005628898255903984,8.043952941300079e-05,-0.0003522539187001517,0.0005667263344017233,0.0005628898188234821,8.043951562812176e-05,-0.0003522538583345865
0.3004808,0.001,6.357840099089801e-07,6.334328416242027e-07,0.0010000277720020533,-3.7269449679189215e-20,3.938141139256181e-11,-5.713237277202108e-10,4.367130971944541e-07,-1.2750317309273128e-07,6.683262483825334e-10,2.558428087643405e-10,2.2679636388221997e-07,-1.475176914500955e-07,-2.9042045643696547e-10,-9.356416950277464e-11,-2.438121035646431e-07,9.921088848056699e-08,-8.392466082778503e-10,-6.161450452851104e-10,-5.627422920523333e-07,-3.146039472982081e-08,-2.4520737792913657e-10,-3.727875000415687e-10,-1.45233869092763e-07,1.2525586108667345e-08,2.7292525545383064e-10,1.330084175103232e-11,-2.8041702696858673e-08,3.020754877504717e-08,1.8078565136937663e-10,2.6724977031290835e-10,7.67555471432745e-08,5.441836626294829e-08,-7.73735414443743e-10,-4.1403886149605937e-10,-3.860222143633234e-07,-6.594338727784295e-09,-7.230882376314721e-12,-9.166442541622727e-12,-7.965657586029555e-08,7.160532262955414e-08,1mV,1,6,1.5470204912480914,6.357840099089801e-07,6.106293354597284e-07,3.938141139256181e-11,-5.713237277202108e-10,0.0006357663534045079,0.0006106123775315259,3.9379224082405135e-05,-0.0005712919954346419,0.0006357663534045079,0.0006334152504145676,3.9379224082405135e-05,-0.0005712919954346419,0.8974733823930682,0.0005726794019513779,0.0007156224682564813,0.016772189569847887,1.5546091533018529e-06,1,0.9999052081119997,0.999905220092669,1,0.9995576378559987,0.9995578085805373,0.0006357663534045079,0.0006334152504145676,3.9379224082405135e-05,-0.0005712919954346419,0.0006358266246106957,0.0006334752987341362,3.939665166970422e-05,-0.0005715448252289231,0.0006358266169923449,0.0006334752911439585,3.939664494075355e-05,-0.0005715447276090298
0.3780242,0.0010003,7.115772003808169e-07,7.117613996092922e-07,0.00100025098605488,-4.0657581468206416e-20,6.624390771392746e-11,-4.6539798684158165e-10,6.31786897950376e-07,-6.511898401410875e-08,5.592518311234458e-10,3.210674053644776e-10,1.7722615953504167e-07,5.56109342530475e-09,-3.831903283160039e-10,-1.2029130857542872e-10,-2.7519683584414783e-07,4.286987705422217e-09,-7.332983005577402e-10,-7.343899140642982e-10,-3.242119238224412e-07,-9.657122922086594e-08,-3.1726238515499723e-10,-4.68744851692942e-10,-1.6407074012830524e-07,-2.1536559523735418e-08,4.5248101277816924e-10,9.507054127686566e-12,8.823677109149306e-08,4.2242355487974085e-09,1.8902572361300219e-10,3.753830532315787e-10,9.312933646674962e-08,2.1124056047194422e-08,-1.0041712966891956e-09,-6.117999079327776e-10,-3.0295235913691555e-07,8.892094443615918e-08,7.080510628501663e-11,6.121807164035086e-11,-9.823977275870801e-08,-4.369502869591652e-08,1mV,1,7,1.5475384635266523,7.115772003808169e-07,6.830667166592046e-07,6.624390771392746e-11,-4.6539798684158165e-10,0.0007113986492403971,0.0006828953194570781,6.62106676345316e-05,-0.00046516445795466703,0.0007113986492403971,0.0007115828022490353,6.62106676345316e-05,-0.00046516445795466703,1.0064523844055315,0.000470088865498225,0.0006448619149883213,0.016769108722642846,1.1377273132351734e-06,1,0.9999051657906892,0.9999051777820589,1,0.9995574403565499,0.9995576112335678,0.0007113986492403971,0.0007115828022490353,6.62106676345316e-05,-0.00046516445795466703,0.0007114661205673926,0.000711650291041692,6.623998277769183e-05,-0.00046537041211832633,0.0007114661120351303,0.0007116502825072212,6.623997145379154e-05,-0.00046537033256202333
0.4763719,0.0009998,7.973117854354789e-07,8.001719272724208e-07,0.0009998283527710558,9.147955830346444e-20,2.727786856713358e-11,-8.314422176240599e-10,4.927634797276365e-07,-5.413618679830018e-08,8.841094764646349e-10,3.877266985519688e-10,2.0350053741832258e-07,2.8051163067454494e-08,-2.165533931266109e-10,2.4203088218857714e-10,-6.39977911249088e-08,-8.751622209431128e-09,-9.395457462851706e-10,-7.165894375318616e-10,-3.3221280633523425e-07,5.200048492713563e-08,-1.1548161087085908e-10,-5.194175285642596e-10,-1.0358681407318554e-07,5.913314106768362e-08,4.09041560382238e-10,-4.379903613899606e-11,1.2756627433022782e-07,-8.214178490040675e-08,5.496730721246933e-11,4.1996810832424396e-10,4.9154477530785707e-08,-1.579155735249484e-08,-1.143735542354991e-09,-6.932369123933341e-10,-2.7784109918637655e-07,1.817089352106323e-08,-1.637205941736217e-11,-1.7047127641632051e-10,3.185396337570768e-08,-3.5586977733760775e-08,1mV,1,8,1.547510945022714,7.973117854354789e-07,7.640272440269511e-07,2.727786856713358e-11,-8.314422176240599e-10,0.0007974486652891011,0.0007641584097004505,2.7287235319832252e-05,-0.000831727720636023,0.0007974486652891011,0.0008003092981457457,2.7287235319832252e-05,-0.000831727720636023,1.1295933765692732,0.0008318895619979736,0.0009653919199706305,0.01676585162041581,1.793538189199655e-06,1,0.9999052459138311,0.9999052578849469,1,0.9995578142645453,0.9995579848529453,0.0007974486652891011,0.0008003092981457457,2.7287235319832252e-05,-0.000831727720636023,0.0007975242339690883,0.0008003851379080714,2.729930668383565e-05,-0.0008320956614680579,0.0007975242244209289,0.0008003851283256603,2.729930202483125e-05,-0.0008320955194594203
0.5978954,0.0010005,8.921469555030275e-07,8.985791494590945e-07,0.0010005182658741922,8.809142651444724e-20,-1.4446483605652157e-10,-1.0009298612351543e-09,3.706899112813314e-07,-8.143024630554219e-08,6.332886188765689e-10,4.991194070579301e-10,2.782811584757521e-07,6.28478842850759e-09,-6.252666000118429e-10,1.8788334859617184e-10,-2.2876940818311418e-07,-9.73400960839577e-08,-1.35656734341029e-09,-7.504251946719115e-10,-5.931076413012699e-07,6.177461058975333e-08,-3.569527519396654e-10,-5.969082288959835e-10,-1.1120543492120906e-07,1.2026889790183125e-08,5.189500204559021e-10,-2.0324212401277836e-10,1.2251627636082402e-07,4.036128387131436e-08,3.91052193966796e-10,4.219026039935041e-10,-3.318235498817502e-08,-6.481907695062445e-08,-1.1523024115812978e-09,-8.818834871071119e-10,-2.775630908484281e-07,-3.052718432576379e-08,7.053386286189513e-12,-1.2908341391311357e-10,-2.6413948068521115e-08,-1.2304505027329436e-07,1mV,1,9,1.5477843711108266,8.921469555030275e-07,8.531825760274299e-07,-1.4446483605652157e-10,-1.0009298612351543e-09,0.0008916848256873389,0.0008527406296595402,-0.00014431520999658992,-0.0009998931716469273,0.0008916848256873389,0.0008981136877835713,-0.00014431520999658992,-0.0009998931716469273,1.2662427405738408,0.0010113014763012379,0.0008063340854140125,0.01677571005610917,1.9461936726655223e-06,1,0.9999051151020976,0.9999051271062893,1,0.9995572038097889,0.999557374869522,0.0008916848256873389,0.0008981136877835713,-0.00014431520999658992,-0.0009998931716469273,0.000891769441139714,0.0008981989132957555,-0.00014437914052996254,-0.0010003361166683186,0.0008917694304337268,0.0008981989025125803,-0.00014437911582156873,-0.001000335945475315
0.7515633,0.001,9.983715982146989e-07,1.0093471877932353e-06,0.0009999712910850915,-1.6940658945086007e-20,-1.3843753420312648e-10,-1.2448016601571685e-09,4.892678265377196e-07,1.3429293323378222e-07,9.34380776033908e-10,4.248473578853052e-10,2.863074149479425e-07,-6.67461399283481e-08,-4.768872067097097e-10,2.4395205004288994e-10,-2.1732528201511595e-07,-1.0252332293601212e-07,-1.5463890398379772e-09,-9.692044915124494e-10,-5.293679498281048e-07,-7.042035059913494e-08,-2.702840611416746e-10,-5.104219583419504e-10,-7.643798647446256e-08,6.569930322095707e-08,5.274625212581316e-10,8.856604420401295e-11,1.6956421899102505e-07,2.3917442579106666e-08,7.925288986994702e-11,4.036145594117114e-10,1.3011185627645382e-07,-7.315388596002115e-08,-1.308530236701963e-09,-1.1388779424014286e-09,-4.054802834061261e-07,-7.119444331032841e-08,2.1134690286766106e-10,1.3776782755945214e-11,1.1607030287094267e-07,-1.6895657061334653e-07,1mV,1,10,1.5483155262546215,9.983715982146989e-07,9.52314224669639e-07,-1.3843753420312648e-10,-1.2448016601571685e-09,0.0009984002612028423,0.0009523415653626029,-0.0001384454833282201,-0.0012448731370450685,0.0009984002612028423,0.0010093761658876925,-0.0001384454833282201,-0.0012448731370450685,1.419692781424166,0.0012524759973773089,0.001026432029958074,0.016775989308308294,2.149832631102309e-06,1,0.9999052188192655,0.9999052307972285,1,0.999557687823239,0.9995578585092112,0.0009984002612028423,0.0010093761658876925,-0.0001384454833282201,-0.0012448731370450685,0.000998494899728396,0.0010094718448210628,-0.00013850674654878215,-0.001245424003246935,0.0009984948877673275,0.0010094718327285006,-0.00013850672289716614,-0.001245423790576498
