Freq,Vmod,IHr1,IHi1,VHr1,VHi1,IHr2,IHi2,VHr2,VHi2,IHr3,IHi3,VHr3,VHi3,IHr4,IHi4,VHr4,VHi4,IHr5,IHi5,VHr5,VHi5,IHr6,IHi6,VHr6,VHi6,IHr7,IHi7,VHr7,VHi7,IHr8,IHi8,VHr8,VHi8,IHr9,IHi9,VHr9,VHi9,IHr10,IHi10,VHr10,VHi10,Modulation,File Number,Rank
1500059,0.0100416,-0.0017170530336488006,0.001110553184318606,-0.006020441927252429,0.008036678469147332,1.9566970460646497e-06,3.818376618407357e-06,2.5321051892552027e-05,3.5300096342047182e-06,2.109166945757999e-06,2.3615930180981405e-07,5.3010911502078986e-06,-6.444615397908019e-06,-1.9155931498451447e-07,-2.0907214024581403e-07,-1.204291236708339e-06,-1.6186116163098316e-06,-2.9059050357316695e-07,-2.720026550335947e-07,3.3498310923779667e-07,-9.287793433022368e-07,-1.1643374938626076e-07,-3.353721284528838e-07,-1.1280562868616643e-06,-3.4548795387036475e-06,-3.15352830623147e-07,-3.324041582242878e-07,1.0014661639034388e-06,-8.397163715904926e-07,-1.699327855382276e-07,1.4897635025254954e-07,-9.248744565885687e-07,-1.3114621082319249e-06,4.959920967120155e-07,-3.174634338795543e-07,2.501337205438823e-07,-7.630627924322685e-07,3.879264036539247e-07,2.6175855602658914e-07,6.216043130889467e-07,1.3357689038352125e-06,10mV,2,73
1191504,0.0127297,-0.0020816406045916216,-0.0017405521807254518,-0.011602517424925643,-0.005237165382625598,-5.54857852362319e-06,-4.756397957825136e-06,-3.859477200063825e-05,-2.0130446176904526e-06,-1.4970776382933936e-06,-1.0360437959888956e-06,-5.731984344993451e-06,2.61187567300781e-06,-3.935066914972667e-07,-2.5050937102138765e-09,-1.5291184143159092e-06,-1.4567858100179077e-07,-2.402261601705477e-07,-2.901386181458149e-07,-3.892401859562823e-06,1.6583863727515746e-06,-3.2938182916188813e-07,1.756400211458795e-07,-2.159990245655782e-06,7.483638102183531e-07,1.0152397201174763e-07,-4.196430154114399e-07,-3.240537795656475e-06,-4.93851883359146e-07,5.613480982447005e-08,1.2563022550276463e-07,-1.9611164634470655e-06,3.437679166251285e-07,1.0506634496607966e-07,3.6900765123784404e-08,8.721586516822005e-07,3.291361095554258e-06,-3.9168368182702014e-07,6.86088142601212e-08,-3.43609701482838e-06,4.795644593889681e-07,10mV,2,72
946464.9,0.0125644,-0.0024836087126092615,-0.0011904628797187594,-0.012240382984273188,-0.002835175575089139,-5.3231882371199785e-06,-2.4218407255639254e-06,-2.8223504258453682e-05,2.447252375512817e-06,-1.416423271064303e-06,1.545691229499969e-06,-3.5598407015360257e-06,5.696629005934123e-06,1.1106183707249965e-07,-3.5936989629570594e-07,2.17877276953105e-06,-2.441728103784797e-06,-3.3243376832075e-07,1.894363373594364e-07,-2.219652380318397e-06,1.2705824974445776e-06,-1.0371820169357368e-07,3.1670848690520314e-07,1.434100940593967e-06,-4.0732013295318044e-07,-2.2872970876280006e-07,4.352156059564243e-07,-1.0507164826693854e-06,3.2383280869652673e-06,-1.1034994627199665e-07,8.448405755599693e-08,-1.6837980227004663e-06,5.914064341148988e-07,-3.558087297689552e-08,8.971125604757083e-08,-2.408582473416678e-06,1.425262105829135e-06,-3.449049222321895e-07,-2.66689962912758e-07,-3.882458170452388e-06,1.601806781713195e-07,10mV,2,71
751816.4,0.0125862,-0.0026756069862252847,-0.0008574940304384333,-0.012484898299498805,-0.0015937534983880876,-4.176349426383047e-06,-9.171146225776536e-07,-1.9394613182732276e-05,1.9732698612487093e-06,-6.656316539069197e-07,9.289618652401305e-07,-1.2120252171275667e-06,-5.09780457974284e-07,2.3525343173185335e-07,2.7188719775447906e-07,1.4495689014324224e-06,1.8760426788355592e-06,1.815498870405152e-08,-1.735548295394211e-07,-9.813857676283902e-07,7.828859786156606e-07,-1.8001933231555e-07,-3.484694033219771e-07,-2.0086252003080367e-06,-1.1844038584874673e-06,-1.7181612025574412e-07,-2.3430679252853985e-07,-1.1435242477001199e-06,-4.5145033571072923e-07,-4.750911251144867e-08,2.7351464820555376e-08,1.9544873373734414e-06,-1.7302019052158337e-06,8.242032222093017e-08,3.9980855971372266e-07,1.146838810736932e-06,1.7213630704510017e-06,-2.2290193354604276e-09,-5.6045106700150463e-08,1.0915960934567328e-06,2.6969494576193167e-06,10mV,2,70
597246.1,0.012618,-0.0021882115402055446,-0.0018223765887065368,-0.01084347144095225,-0.006452442186092277,-2.046190248058572e-06,-2.3047261649299034e-06,-9.289615337838269e-06,-7.383741591671402e-06,-1.0192829345952141e-06,-1.252904827914914e-06,-5.844679488245057e-06,-6.392687243664631e-06,2.310719999754805e-07,-4.1801578593123437e-07,-1.4407300666675907e-06,-2.4616154820056687e-06,-2.4469816861981444e-07,2.5845559396040603e-07,-5.319394167297174e-07,-1.6175067619642276e-06,2.0583116050841933e-07,2.5524521868838455e-07,2.0891812355003685e-07,1.986528113395957e-06,-1.5751046618886378e-08,-1.7237020471006454e-07,1.3422985930177322e-07,7.922033257975735e-07,-1.2638914995276e-07,-2.0950844722689305e-07,1.2639533713709539e-06,-4.735862030103395e-07,-1.1064707475115991e-07,2.301767364992376e-07,-2.557737810073215e-06,5.902204834603274e-07,4.6797818332292284e-08,-8.964437921403143e-08,1.3191960886511528e-06,1.59872423808896e-06,10mV,2,69
474433.6,0.0125966,0.0003182919641533228,-0.002838564163367107,-0.0004105892864763881,-0.012589947850678832,2.2295960694288327e-06,-1.1147980347144164e-06,8.922803695097747e-06,-4.54095136043236e-06,2.5116466013376535e-07,3.692531498734373e-07,-7.228993482317417e-07,9.538194307347018e-07,-5.027061860848162e-07,9.167981922930727e-08,-1.1545727911561598e-06,2.618504799081434e-06,1.73321373816195e-07,-1.4485922101909085e-07,4.4301521472378103e-07,-2.2373300498480606e-06,1.7278562994401166e-07,-7.76002183615375e-08,-9.110552698900577e-07,4.4384871684210475e-07,-1.5678380348576006e-07,3.8666333416603023e-07,-1.7975980202976764e-06,2.0362465589481363e-06,2.1106861204832047e-07,-1.1794640547082718e-09,-5.275560175989682e-07,-1.7437540486190122e-07,2.8403330351744184e-07,3.3776126548981784e-09,-5.898707970599438e-07,-3.1988803674098226e-07,2.23853655079346e-07,9.241103393231489e-08,5.774611835355544e-08,2.8869844050632015e-06,10mV,2,68
376816.4,0.0126457,0.0019930268666568,-0.0020681260262361933,0.007450831662099513,-0.010217583607565398,1.2131300714731706e-06,1.994262093815185e-06,7.4864930458125726e-06,6.454559087018455e-06,-6.31392549192956e-08,-1.2727922061357855e-06,2.0837552958091075e-06,-4.605032912477391e-06,4.1955970939378136e-07,4.643182428176751e-07,2.209708691207961e-06,3.4829804041297393e-07,7.79712836935086e-08,-8.553697269881407e-07,-6.689244513131232e-07,-5.508803767181447e-06,-7.559886310282353e-08,-1.8195956703186518e-07,-1.023964754884711e-06,-2.1964504390607136e-06,1.1060851533449834e-07,-9.707101125139916e-08,7.384033273218643e-07,1.196557256289111e-06,7.717318110841811e-08,2.7164965407017417e-09,2.0307222872201163e-06,-2.8582581920774978e-06,1.642438905127127e-07,-2.2447624050309387e-07,-1.0683342690935174e-07,-3.5244853624766982e-06,1.3321372476012122e-07,-2.787366317846164e-08,-1.230345911886372e-07,2.5368881037173223e-07,10mV,2,67
299355.5,0.012696,-0.0006555487531489378,0.002804644030102719,-0.001186915192415025,0.012640395500099108,1.7346213225982493e-06,-5.069739069655807e-07,7.642277508542734e-06,-1.476085405726918e-06,1.94012423088059e-06,5.936932616394298e-08,8.390263900516629e-06,1.7887591855328447e-06,3.036970592187633e-07,-4.976796512394909e-07,-1.8020174376800924e-06,-1.7699413063185177e-07,5.165355374433068e-07,-5.47687900086522e-07,2.263846554142556e-06,-4.057025157057817e-06,-7.770826206799411e-08,-1.782765350707943e-08,-8.795685783218626e-07,-7.130854795069144e-07,1.7089489270237955e-07,2.643966167475878e-07,2.8571533377318936e-06,-7.180451706643307e-07,-2.1515502633097133e-07,3.808754441911492e-08,-2.8129591639077345e-06,-2.3950446931199924e-07,-1.5009866129681407e-07,-1.3723451069464324e-07,-1.6716446248988226e-06,-7.82093687564428e-07,3.4698094354757936e-07,1.721142099581881e-07,-4.387862742305473e-07,-5.721209805415122e-07,10mV,2,66
237832,0.0127068,0.0020502870479720717,0.0020137506196172936,0.010224401663732119,0.0075448359843865356,-1.25732424529733e-06,-1.1722504606858234e-06,-6.827999855832599e-06,-3.742141668560682e-06,-2.454986355932045e-06,-1.60424850981698e-06,-1.0736974530579483e-05,-7.0191396576220886e-06,-4.783220506773364e-07,3.355515567986099e-07,5.995945096701699e-07,4.1419365280805195e-07,3.7005317490508904e-07,8.077318326541684e-07,3.4383067235195875e-06,5.783564470117973e-07,1.9330244368557387e-07,1.9937174006228022e-07,1.3534465733648763e-06,8.371746541684307e-07,5.245898151373251e-07,6.592840447205558e-08,1.0043009991833894e-06,-1.8793572418723708e-06,1.5292896667394776e-07,-1.0701349607059828e-09,3.0637611003598384e-06,4.5942738408598996e-07,1.0483462386417612e-07,-1.0956793036617816e-07,-1.5103358904406413e-06,-1.856684525846232e-07,1.494741976206787e-07,-1.5059065293691152e-08,4.3818932142761744e-07,-8.10112793768945e-08,10mV,2,65
188847.7,0.0127588,-0.0027824928053277053,0.0007021625579899698,-0.011752777615927782,0.004965776695151855,-1.1446291020457238e-06,1.2738970604813895e-06,-3.77749700762001e-06,6.119788220300448e-06,-1.8837766592547869e-06,-4.2470601045017015e-06,-8.639960982623128e-06,-1.638719965399824e-05,5.49334133061472e-07,-3.3579915465745975e-07,3.0527125569037984e-06,-9.706902251357708e-07,5.416220287582871e-07,8.295641964650412e-07,4.867730815668613e-07,1.37112424289454e-06,-7.694168097738369e-09,3.145560096690975e-07,1.6031436554713758e-06,1.085820246394219e-07,-4.567597132685292e-07,-4.921849896079332e-07,-2.4163164538359054e-06,-1.1291611412072682e-06,-7.921313997796747e-08,-6.214725039655162e-08,9.815817687893004e-07,-1.1147980347144164e-06,-1.42583883979754e-07,2.0085091906017484e-07,-1.9975766568519967e-06,4.7044775375621684e-08,-1.2741633303786804e-07,-4.415593481525787e-09,-5.324073225450807e-07,-2.2063941281711494e-06,10mV,2,64
